😀	😀	sym		
😃	😃	sym		
😄	😄	sym		
😁	😁	sym		
😆	😆	sym		
😅	😅	sym		
🤣	🤣	sym		
😂	😂	sym		
🙂	🙂	sym		
🙃	🙃	sym		
🫠	🫠	sym		
😉	😉	sym		
😊	😊	sym		
😇	😇	sym		
🥰	🥰	sym		
😍	😍	sym		
🤩	🤩	sym		
😘	😘	sym		
😗	😗	sym		
☺️	☺️	sym		
☺	☺	sym		
😚	😚	sym		
😙	😙	sym		
🥲	🥲	sym		
😋	😋	sym		
😛	😛	sym		
😜	😜	sym		
🤪	🤪	sym		
😝	😝	sym		
🤑	🤑	sym		
🤗	🤗	sym		
🤭	🤭	sym		
🫢	🫢	sym		
🫣	🫣	sym		
🤫	🤫	sym		
🤔	🤔	sym		
🫡	🫡	sym		
🤐	🤐	sym		
🤨	🤨	sym		
😐	😐	sym		
😑	😑	sym		
😶	😶	sym		
🫥	🫥	sym		
😶‍🌫️	😶‍🌫️	sym		
😶‍🌫	😶‍🌫	sym		
😏	😏	sym		
😒	😒	sym		
🙄	🙄	sym		
😬	😬	sym		
😮‍💨	😮‍💨	sym		
🤥	🤥	sym		
🫨	🫨	sym		
😌	😌	sym		
😔	😔	sym		
😪	😪	sym		
🤤	🤤	sym		
😴	😴	sym		
😷	😷	sym		
🤒	🤒	sym		
🤕	🤕	sym		
🤢	🤢	sym		
🤮	🤮	sym		
🤧	🤧	sym		
🥵	🥵	sym		
🥶	🥶	sym		
🥴	🥴	sym		
😵	😵	sym		
😵‍💫	😵‍💫	sym		
🤯	🤯	sym		
🤠	🤠	sym		
🥳	🥳	sym		
🥸	🥸	sym		
😎	😎	sym		
🤓	🤓	sym		
🧐	🧐	sym		
😕	😕	sym		
🫤	🫤	sym		
😟	😟	sym		
🙁	🙁	sym		
☹️	☹️	sym		
☹	☹	sym		
😮	😮	sym		
😯	😯	sym		
😲	😲	sym		
😳	😳	sym		
🥺	🥺	sym		
🥹	🥹	sym		
😦	😦	sym		
😧	😧	sym		
😨	😨	sym		
😰	😰	sym		
😥	😥	sym		
😢	😢	sym		
😭	😭	sym		
😱	😱	sym		
😖	😖	sym		
😣	😣	sym		
😞	😞	sym		
😓	😓	sym		
😩	😩	sym		
😫	😫	sym		
🥱	🥱	sym		
😤	😤	sym		
😡	😡	sym		
😠	😠	sym		
🤬	🤬	sym		
😈	😈	sym		
👿	👿	sym		
💀	💀	sym		
☠️	☠️	sym		
☠	☠	sym		
💩	💩	sym		
🤡	🤡	sym		
👹	👹	sym		
👺	👺	sym		
👻	👻	sym		
👽	👽	sym		
👾	👾	sym		
🤖	🤖	sym		
😺	😺	sym		
😸	😸	sym		
😹	😹	sym		
😻	😻	sym		
😼	😼	sym		
😽	😽	sym		
🙀	🙀	sym		
😿	😿	sym		
😾	😾	sym		
🙈	🙈	sym		
🙉	🙉	sym		
🙊	🙊	sym		
💌	💌	sym		
💘	💘	sym		
💝	💝	sym		
💖	💖	sym		
💗	💗	sym		
💓	💓	sym		
💞	💞	sym		
💕	💕	sym		
💟	💟	sym		
❣️	❣️	interp		
❣	❣	interp		
💔	💔	sym		
❤️‍🔥	❤️‍🔥	sym		
❤‍🔥	❤‍🔥	sym		
❤️‍🩹	❤️‍🩹	sym		
❤‍🩹	❤‍🩹	sym		
❤️	❤️	sym		
❤	❤	sym		
🩷	🩷	sym		
🧡	🧡	sym		
💛	💛	sym		
💚	💚	sym		
💙	💙	sym		
🩵	🩵	sym		
💜	💜	sym		
🤎	🤎	sym		
🖤	🖤	sym		
🩶	🩶	sym		
🤍	🤍	sym		
💋	💋	sym		
💯	💯	sym		
💢	💢	sym		
💥	💥	sym		
💫	💫	sym		
💦	💦	sym		
💨	💨	sym		
🕳️	🕳️	sym		
🕳	🕳	sym		
💬	💬	sym		
👁️‍🗨️	👁️‍🗨️	sym		
👁‍🗨️	👁‍🗨️	sym		
👁️‍🗨	👁️‍🗨	sym		
👁‍🗨	👁‍🗨	sym		
🗨️	🗨️	sym		
🗨	🗨	sym		
🗯️	🗯️	sym		
🗯	🗯	sym		
💭	💭	sym		
💤	💤	sym		
👋	👋	sym		
👋🏻	👋🏻	sym		
👋🏼	👋🏼	sym		
👋🏽	👋🏽	sym		
👋🏾	👋🏾	sym		
👋🏿	👋🏿	sym		
🤚	🤚	sym		
🤚🏻	🤚🏻	sym		
🤚🏼	🤚🏼	sym		
🤚🏽	🤚🏽	sym		
🤚🏾	🤚🏾	sym		
🤚🏿	🤚🏿	sym		
🖐️	🖐️	sym		
🖐	🖐	sym		
🖐🏻	🖐🏻	sym		
🖐🏼	🖐🏼	sym		
🖐🏽	🖐🏽	sym		
🖐🏾	🖐🏾	sym		
🖐🏿	🖐🏿	sym		
✋	✋	sym		
✋🏻	✋🏻	sym		
✋🏼	✋🏼	sym		
✋🏽	✋🏽	sym		
✋🏾	✋🏾	sym		
✋🏿	✋🏿	sym		
🖖	🖖	sym		
🖖🏻	🖖🏻	sym		
🖖🏼	🖖🏼	sym		
🖖🏽	🖖🏽	sym		
🖖🏾	🖖🏾	sym		
🖖🏿	🖖🏿	sym		
🫱	🫱	sym		
🫱🏻	🫱🏻	sym		
🫱🏼	🫱🏼	sym		
🫱🏽	🫱🏽	sym		
🫱🏾	🫱🏾	sym		
🫱🏿	🫱🏿	sym		
🫲	🫲	sym		
🫲🏻	🫲🏻	sym		
🫲🏼	🫲🏼	sym		
🫲🏽	🫲🏽	sym		
🫲🏾	🫲🏾	sym		
🫲🏿	🫲🏿	sym		
🫳	🫳	sym		
🫳🏻	🫳🏻	sym		
🫳🏼	🫳🏼	sym		
🫳🏽	🫳🏽	sym		
🫳🏾	🫳🏾	sym		
🫳🏿	🫳🏿	sym		
🫴	🫴	sym		
🫴🏻	🫴🏻	sym		
🫴🏼	🫴🏼	sym		
🫴🏽	🫴🏽	sym		
🫴🏾	🫴🏾	sym		
🫴🏿	🫴🏿	sym		
🫷	🫷	sym		
🫷🏻	🫷🏻	sym		
🫷🏼	🫷🏼	sym		
🫷🏽	🫷🏽	sym		
🫷🏾	🫷🏾	sym		
🫷🏿	🫷🏿	sym		
🫸	🫸	sym		
🫸🏻	🫸🏻	sym		
🫸🏼	🫸🏼	sym		
🫸🏽	🫸🏽	sym		
🫸🏾	🫸🏾	sym		
🫸🏿	🫸🏿	sym		
👌	👌	sym		
👌🏻	👌🏻	sym		
👌🏼	👌🏼	sym		
👌🏽	👌🏽	sym		
👌🏾	👌🏾	sym		
👌🏿	👌🏿	sym		
🤌	🤌	sym		
🤌🏻	🤌🏻	sym		
🤌🏼	🤌🏼	sym		
🤌🏽	🤌🏽	sym		
🤌🏾	🤌🏾	sym		
🤌🏿	🤌🏿	sym		
🤏	🤏	sym		
🤏🏻	🤏🏻	sym		
🤏🏼	🤏🏼	sym		
🤏🏽	🤏🏽	sym		
🤏🏾	🤏🏾	sym		
🤏🏿	🤏🏿	sym		
✌️	✌️	sym		
✌	✌	sym		
✌🏻	✌🏻	sym		
✌🏼	✌🏼	sym		
✌🏽	✌🏽	sym		
✌🏾	✌🏾	sym		
✌🏿	✌🏿	sym		
🤞	🤞	sym		
🤞🏻	🤞🏻	sym		
🤞🏼	🤞🏼	sym		
🤞🏽	🤞🏽	sym		
🤞🏾	🤞🏾	sym		
🤞🏿	🤞🏿	sym		
🫰	🫰	sym		
🫰🏻	🫰🏻	sym		
🫰🏼	🫰🏼	sym		
🫰🏽	🫰🏽	sym		
🫰🏾	🫰🏾	sym		
🫰🏿	🫰🏿	sym		
🤟	🤟	sym		
🤟🏻	🤟🏻	sym		
🤟🏼	🤟🏼	sym		
🤟🏽	🤟🏽	sym		
🤟🏾	🤟🏾	sym		
🤟🏿	🤟🏿	sym		
🤘	🤘	sym		
🤘🏻	🤘🏻	sym		
🤘🏼	🤘🏼	sym		
🤘🏽	🤘🏽	sym		
🤘🏾	🤘🏾	sym		
🤘🏿	🤘🏿	sym		
🤙	🤙	sym		
🤙🏻	🤙🏻	sym		
🤙🏼	🤙🏼	sym		
🤙🏽	🤙🏽	sym		
🤙🏾	🤙🏾	sym		
🤙🏿	🤙🏿	sym		
👈	👈	sym		
👈🏻	👈🏻	sym		
👈🏼	👈🏼	sym		
👈🏽	👈🏽	sym		
👈🏾	👈🏾	sym		
👈🏿	👈🏿	sym		
👉	👉	sym		
👉🏻	👉🏻	sym		
👉🏼	👉🏼	sym		
👉🏽	👉🏽	sym		
👉🏾	👉🏾	sym		
👉🏿	👉🏿	sym		
👆	👆	sym		
👆🏻	👆🏻	sym		
👆🏼	👆🏼	sym		
👆🏽	👆🏽	sym		
👆🏾	👆🏾	sym		
👆🏿	👆🏿	sym		
🖕	🖕	sym		
🖕🏻	🖕🏻	sym		
🖕🏼	🖕🏼	sym		
🖕🏽	🖕🏽	sym		
🖕🏾	🖕🏾	sym		
🖕🏿	🖕🏿	sym		
👇	👇	sym		
👇🏻	👇🏻	sym		
👇🏼	👇🏼	sym		
👇🏽	👇🏽	sym		
👇🏾	👇🏾	sym		
👇🏿	👇🏿	sym		
☝️	☝️	sym		
☝	☝	sym		
☝🏻	☝🏻	sym		
☝🏼	☝🏼	sym		
☝🏽	☝🏽	sym		
☝🏾	☝🏾	sym		
☝🏿	☝🏿	sym		
🫵	🫵	sym		
🫵🏻	🫵🏻	sym		
🫵🏼	🫵🏼	sym		
🫵🏽	🫵🏽	sym		
🫵🏾	🫵🏾	sym		
🫵🏿	🫵🏿	sym		
👍	👍	sym		
👍🏻	👍🏻	sym		
👍🏼	👍🏼	sym		
👍🏽	👍🏽	sym		
👍🏾	👍🏾	sym		
👍🏿	👍🏿	sym		
👎	👎	sym		
👎🏻	👎🏻	sym		
👎🏼	👎🏼	sym		
👎🏽	👎🏽	sym		
👎🏾	👎🏾	sym		
👎🏿	👎🏿	sym		
✊	✊	sym		
✊🏻	✊🏻	sym		
✊🏼	✊🏼	sym		
✊🏽	✊🏽	sym		
✊🏾	✊🏾	sym		
✊🏿	✊🏿	sym		
👊	👊	sym		
👊🏻	👊🏻	sym		
👊🏼	👊🏼	sym		
👊🏽	👊🏽	sym		
👊🏾	👊🏾	sym		
👊🏿	👊🏿	sym		
🤛	🤛	sym		
🤛🏻	🤛🏻	sym		
🤛🏼	🤛🏼	sym		
🤛🏽	🤛🏽	sym		
🤛🏾	🤛🏾	sym		
🤛🏿	🤛🏿	sym		
🤜	🤜	sym		
🤜🏻	🤜🏻	sym		
🤜🏼	🤜🏼	sym		
🤜🏽	🤜🏽	sym		
🤜🏾	🤜🏾	sym		
🤜🏿	🤜🏿	sym		
👏	👏	sym		
👏🏻	👏🏻	sym		
👏🏼	👏🏼	sym		
👏🏽	👏🏽	sym		
👏🏾	👏🏾	sym		
👏🏿	👏🏿	sym		
🙌	🙌	sym		
🙌🏻	🙌🏻	sym		
🙌🏼	🙌🏼	sym		
🙌🏽	🙌🏽	sym		
🙌🏾	🙌🏾	sym		
🙌🏿	🙌🏿	sym		
🫶	🫶	sym		
🫶🏻	🫶🏻	sym		
🫶🏼	🫶🏼	sym		
🫶🏽	🫶🏽	sym		
🫶🏾	🫶🏾	sym		
🫶🏿	🫶🏿	sym		
👐	👐	sym		
👐🏻	👐🏻	sym		
👐🏼	👐🏼	sym		
👐🏽	👐🏽	sym		
👐🏾	👐🏾	sym		
👐🏿	👐🏿	sym		
🤲	🤲	sym		
🤲🏻	🤲🏻	sym		
🤲🏼	🤲🏼	sym		
🤲🏽	🤲🏽	sym		
🤲🏾	🤲🏾	sym		
🤲🏿	🤲🏿	sym		
🤝	🤝	sym		
🤝🏻	🤝🏻	sym		
🤝🏼	🤝🏼	sym		
🤝🏽	🤝🏽	sym		
🤝🏾	🤝🏾	sym		
🤝🏿	🤝🏿	sym		
🫱🏻‍🫲🏼	🫱🏻‍🫲🏼	sym		
🫱🏻‍🫲🏽	🫱🏻‍🫲🏽	sym		
🫱🏻‍🫲🏾	🫱🏻‍🫲🏾	sym		
🫱🏻‍🫲🏿	🫱🏻‍🫲🏿	sym		
🫱🏼‍🫲🏻	🫱🏼‍🫲🏻	sym		
🫱🏼‍🫲🏽	🫱🏼‍🫲🏽	sym		
🫱🏼‍🫲🏾	🫱🏼‍🫲🏾	sym		
🫱🏼‍🫲🏿	🫱🏼‍🫲🏿	sym		
🫱🏽‍🫲🏻	🫱🏽‍🫲🏻	sym		
🫱🏽‍🫲🏼	🫱🏽‍🫲🏼	sym		
🫱🏽‍🫲🏾	🫱🏽‍🫲🏾	sym		
🫱🏽‍🫲🏿	🫱🏽‍🫲🏿	sym		
🫱🏾‍🫲🏻	🫱🏾‍🫲🏻	sym		
🫱🏾‍🫲🏼	🫱🏾‍🫲🏼	sym		
🫱🏾‍🫲🏽	🫱🏾‍🫲🏽	sym		
🫱🏾‍🫲🏿	🫱🏾‍🫲🏿	sym		
🫱🏿‍🫲🏻	🫱🏿‍🫲🏻	sym		
🫱🏿‍🫲🏼	🫱🏿‍🫲🏼	sym		
🫱🏿‍🫲🏽	🫱🏿‍🫲🏽	sym		
🫱🏿‍🫲🏾	🫱🏿‍🫲🏾	sym		
🙏	🙏	sym		
🙏🏻	🙏🏻	sym		
🙏🏼	🙏🏼	sym		
🙏🏽	🙏🏽	sym		
🙏🏾	🙏🏾	sym		
🙏🏿	🙏🏿	sym		
✍️	✍️	sym		
✍	✍	sym		
✍🏻	✍🏻	sym		
✍🏼	✍🏼	sym		
✍🏽	✍🏽	sym		
✍🏾	✍🏾	sym		
✍🏿	✍🏿	sym		
💅	💅	sym		
💅🏻	💅🏻	sym		
💅🏼	💅🏼	sym		
💅🏽	💅🏽	sym		
💅🏾	💅🏾	sym		
💅🏿	💅🏿	sym		
🤳	🤳	sym		
🤳🏻	🤳🏻	sym		
🤳🏼	🤳🏼	sym		
🤳🏽	🤳🏽	sym		
🤳🏾	🤳🏾	sym		
🤳🏿	🤳🏿	sym		
💪	💪	sym		
💪🏻	💪🏻	sym		
💪🏼	💪🏼	sym		
💪🏽	💪🏽	sym		
💪🏾	💪🏾	sym		
💪🏿	💪🏿	sym		
🦾	🦾	sym		
🦿	🦿	sym		
🦵	🦵	sym		
🦵🏻	🦵🏻	sym		
🦵🏼	🦵🏼	sym		
🦵🏽	🦵🏽	sym		
🦵🏾	🦵🏾	sym		
🦵🏿	🦵🏿	sym		
🦶	🦶	sym		
🦶🏻	🦶🏻	sym		
🦶🏼	🦶🏼	sym		
🦶🏽	🦶🏽	sym		
🦶🏾	🦶🏾	sym		
🦶🏿	🦶🏿	sym		
👂	👂	sym		
👂🏻	👂🏻	sym		
👂🏼	👂🏼	sym		
👂🏽	👂🏽	sym		
👂🏾	👂🏾	sym		
👂🏿	👂🏿	sym		
🦻	🦻	sym		
🦻🏻	🦻🏻	sym		
